Task,Date (start),Date (end),Duration (time),Duration (h)

"Emberjs - ClientSide MVC is Not Server Side MVC, Erase your Brain",2014-04-29,2014-04-29,0:35:50,"0.6"
"	Session",2014-04-29 21:16:08,,0:35:50,"0.6"

"Don't override init",2014-04-30,2014-04-30,0:12:12,"0.2"
"	Session",2014-04-30 00:33:41,,0:12:12,"0.2"

"Controller's Needs Explained",2014-04-30,2014-04-30,0:10:44,"0.2"
"	Session",2014-04-30 00:46:05,,0:10:44,"0.2"

"Adding route specific body class tags in Ember",2014-04-30,2014-04-30,0:07:33,"0.1"
"	Session",2014-04-30 03:27:04,,0:07:33,"0.1"

"Computed Properties in Ember.Js",2014-04-30,2014-04-30,0:35:40,"0.6"
"	Session",2014-04-30 01:09:33,,0:35:40,"0.6"

"Simple Property Enum Cycling in Ember",2014-04-30,2014-04-30,0:14:32,"0.2"
"	Session",2014-04-30 03:11:52,,0:14:32,"0.2"

"A Simple Ember Data Route",2014-04-30,2014-04-30,0:12:23,"0.2"
"	Session",2014-04-30 02:53:51,,0:12:23,"0.2"

"Ember Object Self Troll",2014-04-30,2014-04-30,0:05:14,"0.1"
"	Session",2014-04-30 01:04:07,,0:05:14,"0.1"

"Observable Path Patterns in Ember",2014-04-30,2014-04-30,0:41:49,"0.7"
"	Session",2014-04-30 04:45:43,,0:41:49,"0.7"

"Ember.js Getters and Setters",2014-04-30,2014-04-30,0:27:00,"0.5"
"	Session #1",2014-04-30 03:36:10,,0:00:48,"0"
"	Session #2",2014-04-30 03:52:07,,0:26:12,"0.4"

"ember.js - Computed Property for All Keys of an Object",2014-04-30,2014-04-30,0:12:47,"0.2"
"	Session",2014-04-30 05:28:29,,0:12:47,"0.2"

"Ember's BufferedProxy and analog to Ruby's method_missing",2014-04-30,2014-05-02,0:12:21,"0.2"
"	Session #1",2014-04-30 06:14:03,,0:05:55,"0.1"
"	Session #2",2014-05-02 04:02:02,,0:06:26,"0.1"

"Ember and D3: Building a simple dashboard",,,,""

"An Epilogue for Ember",,,,""

"Magic Behind ES6 Generators",,,,""

"Building an Ember app with RailsAPI - I",,,,""

"Building an Ember app with RailsAPI - II",,,,""

"Building an Ember app with RailsAPI - III",,,,""

"Introducing Ember-EasyForm",,,,""

"The problem with Server-rendered errors",2014-05-02,2014-05-02,1:03:00,"1.1"
"	Session",2014-05-02 03:32:57,,1:03:00,"1.1"

"Understanding validation graphs",,,,""

"The willSetProperty gotcha in Ember-Data: Understanding the state machine",2014-04-30,2014-04-30,0:17:30,"0.3"
"	Session",2014-04-30 05:48:18,,0:17:30,"0.3"

"Ember Sparks 4: Setting up Testing",2014-05-03,2014-05-03,0:00:02,"0"
"	Session",2014-05-03 03:26:21,,0:00:02,"0"

"Ember Sparks 5: Embedding Youtube videos",,,,""

"Ember Sparks 6: Intro to Ember App Kit",,,,""

"Ember Sparks 7: Transferring to Ember App Kit",,,,""

"Ember Sparks 8: Persistance with Ember Data and Ember App Kit",,,,""

"Ember.js - Animating Deletes With the BufferedProxy",,,,""

"Flatland: The Movie 1 and 2",,,,""

"Rails",2014-04-30,2014-05-04,1:22:14,"1.4"
"	Session #1",2014-04-30 11:30:14,,0:15:00,"0.3"
"	Session #2",2014-05-01 21:51:10,,0:29:05,"0.5"
"	Session #3",2014-05-02 19:52:40,,0:25:54,"0.4"
"	Session #4",2014-05-04 03:55:38,,0:12:15,"0.2"

"Ruby",2014-04-30,2014-05-08,1:43:00,"1.7"
"	Session #1",2014-04-30 11:45:05,,0:00:15,"0"
"	Session #2",2014-05-01 21:16:55,,0:23:36,"0.4"
"	Session #3",2014-05-02 18:57:37,,0:41:51,"0.7"
"	Session #4",2014-05-04 02:54:21,,0:30:01,"0.5"
"	Session #5",2014-05-08 22:19:04,,0:07:17,"0.1"

"JavaScript",2014-05-02,2014-05-08,0:54:08,"0.9"
"	Session #2",2014-05-02 22:51:46,,0:20:11,"0.3"
"	Session #3",2014-05-08 21:45:02,,0:33:57,"0.6"

"How to learn any language in six months: Chris Lonsdale",2014-05-01,2014-05-01,0:31:17,"0.5"
"	Session",2014-05-01 01:11:25,,0:31:17,"0.5"

